Czas; Temperatura
873; 19,9789
874; 20,006
875; 19,9789
876; 20,0061
877; 19,9789
878; 20,0061
879; 19,9789
880; 20,0061
881; 19,9789
882; 20,0061
883; 19,9789
884; 20,0061
885; 19,9789
886; 20,0061
887; 19,9789
888; 20,0061
889; 19,9789
890; 20,0061
891; 19,9789
892; 20,0061
893; 19,9789
894; 20,0061
895; 19,979
896; 20,0061
897; 19,979
898; 20,0062
899; 19,979
900; 20,0062
901; 19,979
902; 20,0062
903; 19,979
904; 20,0062
905; 19,979
906; 20,0062
907; 19,979
908; 20,0062
909; 19,979
910; 20,0062
911; 19,979
912; 20,0062
913; 19,979
914; 20,0062
915; 19,9791
916; 20,0062
917; 19,9791
918; 20,0063
919; 19,9791
920; 20,0063
921; 19,9791
922; 20,0063
923; 19,9791
924; 20,0063
925; 19,9791
926; 20,0063
927; 19,9791
928; 20,0063
929; 19,9791
930; 20,0063
931; 19,9791
932; 20,0063
933; 19,9791
934; 20,0063
935; 19,9791
936; 20,0063
937; 19,9792
938; 20,0063
939; 19,9792
940; 20,0064
941; 19,9792
942; 20,0064
943; 19,9792
944; 20,0064
945; 19,9792
946; 20,0064
947; 19,9792
948; 20,0064
949; 19,9792
950; 20,0064
951; 19,9792
952; 20,0064
953; 19,9792
954; 20,0064
955; 19,9792
956; 20,0064
957; 19,9793
958; 20,0064
959; 19,9793
960; 20,0065
961; 19,9793
962; 20,0065
963; 19,9793
964; 20,0065
965; 19,9793
966; 20,0065
967; 19,9793
968; 20,0065
969; 19,9793
970; 20,0065
971; 19,9793
972; 20,0065
973; 19,9793
974; 20,0065
975; 19,9793
976; 20,0065
977; 19,9793
978; 20,0065
979; 19,9794
980; 20,0065
981; 19,9794
982; 20,0066
983; 19,9794
984; 20,0066
985; 19,9794
986; 20,0066
987; 19,9794
988; 20,0066
989; 19,9794
990; 20,0066
991; 19,9794
992; 20,0066
993; 19,9794
994; 20,0066
995; 19,9794
996; 20,0066
997; 19,9794
998; 20,0066
999; 19,9795
1 000; 20,0066
Czas; Moc grzejnika
1; 0
2; 6 000
3; 0
4; 6 000
5; 0
6; 6 000
7; 0
8; 6 000
9; 0
10; 6 000
11; 0
